customer_id,cluster
CUST00001,0
CUST00002,1
CUST00003,1
CUST00004,1
CUST00005,0
CUST00006,0
CUST00007,0
CUST00008,0
CUST00009,1
CUST00010,1
CUST00011,0
CUST00012,0
CUST00013,0
CUST00014,0
CUST00015,0
CUST00016,0
CUST00017,0
CUST00018,0
CUST00019,0
CUST00020,0
CUST00021,0
CUST00022,0
CUST00023,0
CUST00024,0
CUST00025,0
CUST00026,0
CUST00027,0
CUST00028,0
CUST00029,0
CUST00030,0
CUST00031,1
CUST00032,0
CUST00033,0
CUST00034,1
CUST00035,1
CUST00036,0
CUST00037,0
CUST00038,0
CUST00039,1
CUST00040,0
CUST00041,0
CUST00042,0
CUST00043,0
CUST00044,1
CUST00045,0
CUST00046,1
CUST00047,0
CUST00048,0
CUST00049,0
CUST00050,0
CUST00051,1
CUST00052,0
CUST00053,1
CUST00054,0
CUST00055,1
CUST00056,1
CUST00057,0
CUST00058,0
CUST00059,0
CUST00060,0
CUST00061,0
CUST00062,0
CUST00063,0
CUST00064,0
CUST00065,0
CUST00066,0
CUST00067,0
CUST00068,0
CUST00069,0
CUST00070,1
CUST00071,0
CUST00072,0
CUST00073,0
CUST00074,0
CUST00075,1
CUST00076,1
CUST00077,0
CUST00078,0
CUST00079,0
CUST00080,0
CUST00081,0
CUST00082,1
CUST00083,0
CUST00084,0
CUST00085,0
CUST00086,0
CUST00087,1
CUST00088,1
CUST00089,0
CUST00090,0
CUST00091,0
CUST00092,1
CUST00093,0
CUST00094,1
CUST00095,0
CUST00096,0
CUST00097,0
CUST00098,0
CUST00099,0
CUST00100,0
CUST00101,0
CUST00102,1
CUST00103,0
CUST00104,0
CUST00105,1
CUST00106,0
CUST00107,0
CUST00108,0
CUST00109,0
CUST00110,0
CUST00111,0
CUST00112,0
CUST00113,1
CUST00114,0
CUST00115,1
CUST00116,0
CUST00117,0
CUST00118,0
CUST00119,0
CUST00120,0
CUST00121,0
CUST00122,0
CUST00123,0
CUST00124,0
CUST00125,0
CUST00126,0
CUST00127,1
CUST00128,0
CUST00129,0
CUST00130,1
CUST00131,0
CUST00132,0
CUST00133,0
CUST00134,0
CUST00135,1
CUST00136,0
CUST00137,0
CUST00138,1
CUST00139,0
CUST00140,1
CUST00141,1
CUST00142,0
CUST00143,0
CUST00144,0
CUST00145,0
CUST00146,0
CUST00147,1
CUST00148,0
CUST00149,0
CUST00150,0
CUST00151,1
CUST00152,0
CUST00153,0
CUST00154,0
CUST00155,1
CUST00156,0
CUST00157,1
CUST00158,0
CUST00159,0
CUST00160,0
CUST00161,0
CUST00162,1
CUST00163,1
CUST00164,0
CUST00165,0
CUST00166,0
CUST00167,0
CUST00168,0
CUST00169,0
CUST00170,0
CUST00171,1
CUST00172,0
CUST00173,0
CUST00174,0
CUST00175,1
CUST00176,0
CUST00177,1
CUST00178,0
CUST00179,1
CUST00180,0
CUST00181,0
CUST00182,0
CUST00183,1
CUST00184,0
CUST00185,0
CUST00186,1
CUST00187,0
CUST00188,1
CUST00189,0
CUST00190,0
CUST00191,0
CUST00192,0
CUST00193,1
CUST00194,1
CUST00195,0
CUST00196,0
CUST00197,1
CUST00198,0
CUST00199,0
CUST00200,0
CUST00201,1
CUST00202,0
CUST00203,0
CUST00204,0
CUST00205,1
CUST00206,0
CUST00207,0
CUST00208,1
CUST00209,0
CUST00210,0
CUST00211,0
CUST00212,1
CUST00213,0
CUST00214,0
CUST00215,1
CUST00216,0
CUST00217,1
CUST00218,1
CUST00219,0
CUST00220,0
CUST00221,1
CUST00222,1
CUST00223,0
CUST00224,0
CUST00225,0
CUST00226,0
CUST00227,1
CUST00228,0
CUST00229,0
CUST00230,1
CUST00231,0
CUST00232,0
CUST00233,1
CUST00234,0
CUST00235,0
CUST00236,1
CUST00237,0
CUST00238,0
CUST00239,1
CUST00240,0
CUST00241,1
CUST00242,1
CUST00243,1
CUST00244,0
CUST00245,0
CUST00246,1
CUST00247,0
CUST00248,1
CUST00249,1
CUST00250,0
CUST00251,0
CUST00252,0
CUST00253,0
CUST00254,0
CUST00255,0
CUST00256,1
CUST00257,1
CUST00258,1
CUST00259,1
CUST00260,0
CUST00261,1
CUST00262,0
CUST00263,0
CUST00264,1
CUST00265,0
CUST00266,1
CUST00267,1
CUST00268,1
CUST00269,0
CUST00270,0
CUST00271,0
CUST00272,0
CUST00273,0
CUST00274,1
CUST00275,0
CUST00276,0
CUST00277,0
CUST00278,1
CUST00279,1
CUST00280,0
CUST00281,0
CUST00282,0
CUST00283,0
CUST00284,0
CUST00285,1
CUST00286,0
CUST00287,0
CUST00288,0
CUST00289,1
CUST00290,1
CUST00291,0
CUST00292,0
CUST00293,0
CUST00294,0
CUST00295,0
CUST00296,0
CUST00297,0
CUST00298,0
CUST00299,1
CUST00300,0
CUST00301,0
CUST00302,0
CUST00303,0
CUST00304,1
CUST00305,1
CUST00306,1
CUST00307,0
CUST00308,0
CUST00309,0
CUST00310,0
CUST00311,0
CUST00312,0
CUST00313,0
CUST00314,1
CUST00315,0
CUST00316,1
CUST00317,0
CUST00318,0
CUST00319,0
CUST00320,0
CUST00321,0
CUST00322,1
CUST00323,1
CUST00324,0
CUST00325,1
CUST00326,1
CUST00327,0
CUST00328,1
CUST00329,0
CUST00330,0
CUST00331,0
CUST00332,0
CUST00333,0
CUST00334,0
CUST00335,0
CUST00336,0
CUST00337,0
CUST00338,1
CUST00339,0
CUST00340,0
CUST00341,0
CUST00342,0
CUST00343,0
CUST00344,0
CUST00345,0
CUST00346,1
CUST00347,1
CUST00348,0
CUST00349,0
CUST00350,1
CUST00351,0
CUST00352,0
CUST00353,0
CUST00354,0
CUST00355,0
CUST00356,0
CUST00357,0
CUST00358,1
CUST00359,1
CUST00360,1
CUST00361,0
CUST00362,0
CUST00363,0
CUST00364,0
CUST00365,1
CUST00366,0
CUST00367,1
CUST00368,1
CUST00369,0
CUST00370,0
CUST00371,0
CUST00372,0
CUST00373,0
CUST00374,1
CUST00375,0
CUST00376,0
CUST00377,0
CUST00378,0
CUST00379,0
CUST00380,0
CUST00381,0
CUST00382,1
CUST00383,1
CUST00384,0
CUST00385,1
CUST00386,0
CUST00387,0
CUST00388,0
CUST00389,0
CUST00390,0
CUST00391,0
CUST00392,0
CUST00393,0
CUST00394,1
CUST00395,0
CUST00396,1
CUST00397,0
CUST00398,0
CUST00399,0
CUST00400,0
CUST00401,0
CUST00402,1
CUST00403,0
CUST00404,0
CUST00405,0
CUST00406,0
CUST00407,0
CUST00408,0
CUST00409,1
CUST00410,0
CUST00411,0
CUST00412,1
CUST00413,1
CUST00414,1
CUST00415,1
CUST00416,0
CUST00417,0
CUST00418,0
CUST00419,1
CUST00420,0
CUST00421,0
CUST00422,0
CUST00423,0
CUST00424,0
CUST00425,0
CUST00426,0
CUST00427,0
CUST00428,0
CUST00429,0
CUST00430,0
CUST00431,0
CUST00432,0
CUST00433,1
CUST00434,0
CUST00435,0
CUST00436,1
CUST00437,0
CUST00438,0
CUST00439,1
CUST00440,0
CUST00441,0
CUST00442,1
CUST00443,0
CUST00444,0
CUST00445,1
CUST00446,1
CUST00447,1
CUST00448,0
CUST00449,0
CUST00450,0
CUST00451,0
CUST00452,1
CUST00453,0
CUST00454,1
CUST00455,0
CUST00456,0
CUST00457,0
CUST00458,0
CUST00459,0
CUST00460,0
CUST00461,0
CUST00462,1
CUST00463,0
CUST00464,1
CUST00465,1
CUST00466,0
CUST00467,1
CUST00468,0
CUST00469,0
CUST00470,1
CUST00471,0
CUST00472,1
CUST00473,0
CUST00474,0
CUST00475,0
CUST00476,0
CUST00477,0
CUST00478,1
CUST00479,1
CUST00480,0
CUST00481,1
CUST00482,1
CUST00483,0
CUST00484,0
CUST00485,1
CUST00486,1
CUST00487,0
CUST00488,0
CUST00489,1
CUST00490,0
CUST00491,0
CUST00492,0
CUST00493,0
CUST00494,0
CUST00495,0
CUST00496,0
CUST00497,1
CUST00498,0
CUST00499,1
CUST00500,1
CUST00501,1
CUST00502,0
CUST00503,0
CUST00504,0
CUST00505,1
CUST00506,0
CUST00507,1
CUST00508,0
CUST00509,1
CUST00510,1
CUST00511,1
CUST00512,0
CUST00513,1
CUST00514,0
CUST00515,0
CUST00516,0
CUST00517,0
CUST00518,0
CUST00519,1
CUST00520,0
CUST00521,1
CUST00522,0
CUST00523,1
CUST00524,0
CUST00525,0
CUST00526,1
CUST00527,1
CUST00528,1
CUST00529,0
CUST00530,0
CUST00531,0
CUST00532,1
CUST00533,1
CUST00534,1
CUST00535,0
CUST00536,1
CUST00537,0
CUST00538,0
CUST00539,0
CUST00540,0
CUST00541,1
CUST00542,1
CUST00543,0
CUST00544,1
CUST00545,1
CUST00546,0
CUST00547,0
CUST00548,1
CUST00549,1
CUST00550,0
CUST00551,0
CUST00552,0
CUST00553,1
CUST00554,1
CUST00555,0
CUST00556,0
CUST00557,0
CUST00558,0
CUST00559,0
CUST00560,1
CUST00561,0
CUST00562,0
CUST00563,0
CUST00564,0
CUST00565,0
CUST00566,1
CUST00567,1
CUST00568,0
CUST00569,1
CUST00570,0
CUST00571,0
CUST00572,0
CUST00573,0
CUST00574,1
CUST00575,0
CUST00576,1
CUST00577,0
CUST00578,1
CUST00579,0
CUST00580,0
CUST00581,0
CUST00582,1
CUST00583,0
CUST00584,0
CUST00585,1
CUST00586,0
CUST00587,0
CUST00588,0
CUST00589,0
CUST00590,0
CUST00591,0
CUST00592,1
CUST00593,0
CUST00594,0
CUST00595,0
CUST00596,0
CUST00597,1
CUST00598,0
CUST00599,0
CUST00600,0
CUST00601,0
CUST00602,0
CUST00603,0
CUST00604,0
CUST00605,0
CUST00606,0
CUST00607,0
